source_id,citation_key,title,author_or_institution,publication_year,access_date,country_or_region,topic,evidence_type,population,indicator,time_period,unit,source_url,summary,comparability_notes,status
S011,fed2026shed,Economic Well-Being of U.S. Households in 2025,Board of Governors of the Federal Reserve System,2026,2026-07-20,United States,financial well-being and liquidity,official survey report,adults and families,income margin emergency savings bills credit housing,2025,percent/self-report,https://www.federalreserve.gov/publications/2026-economic-well-being-of-us-households-in-2025-executive-summary.htm,"Measures budget margin, emergency capacity and financial hardship.","Adult self-report survey is not a complete household balance sheet.",collected-not-analyzed
S012,fed2023scf,2022 Survey of Consumer Finances,Board of Governors of the Federal Reserve System,2023,2026-07-20,United States,household balance sheets,official micro survey,families,income assets debts net worth pensions,2022,USD/family,https://www.federalreserve.gov/econres/scfindex.htm,"Benchmark U.S. family wealth and financial participation survey.","Highly skewed distributions require weights, medians and means.",collected-not-analyzed
S013,cbo2026income2022,"The Distribution of Household Income, 2022",Congressional Budget Office,2026,2026-07-20,United States,tax and transfer distribution,official analytical report,households,market income social insurance means-tested transfers federal taxes,1979-2022,2022 USD/size-adjusted household,https://www.cbo.gov/publication/62300,"Decomposes income before and after transfers and federal taxes.","Data lag and CBO-specific income definitions must be retained.",collected-not-analyzed
S014,nbs2026income2025,2025年居民收入和消费支出情况,国家统计局,2026,2026-07-20,China,household income and consumption,official survey release,residents/households,disposable income median income consumption categories,2025,CNY/person/year,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html,"National and urban-rural income and consumption aggregates.","Per-capita national values do not identify typical young households.",collected-not-analyzed
S015,nbs2024disposablemethod,居民人均可支配收入的计算方法,国家统计局,2024,2026-07-20,China,disposable-income methodology,official methodology,resident households,wage business property transfer net income,current methodology,CNY/person,https://www.stats.gov.cn/zs/tjws/zytjzbqs/jmrj/202411/t20241128_1957607.html,"Defines disposable income components and national household survey design.","Not identical to OECD adjusted disposable income.",collected-not-analyzed
S016,nbs2025householdsource,居民人均可支配收入的基础数据来源,国家统计局,2025,2026-07-20,China,household survey design,official methodology,resident households,sampling coverage quality targets,current survey design,household sample,https://www.stats.gov.cn/zs/tjws/zytjzbqs/jmrj/202501/t20250121_1958392.html,"Documents target population, sampling and precision goals.","Aggregated releases limit fine-grained heterogeneity analysis.",collected-not-analyzed
S017,chfs2025sixthreport,中国家庭金融调查（第六轮）研究报告,中国家庭金融调查与研究中心,2025,2026-07-20,China,household finance,research report,households and members,income expenditure housing assets debt insurance,sixth survey round,household/person,https://chfs.swufe.edu.cn/info/1031/3901.htm,"Comprehensive CHFS report on household financial decisions.","Full bibliographic and sample details require book-level review.",collected-not-analyzed
S018,chfs2026data2021,2021年中国家庭金融调查数据公开发布,中国家庭金融调查与研究中心,2026,2026-07-20,China,household finance microdata,data release,households and members,employment income expenditure assets debt social security,2021 wave,household/person,https://chfs.swufe.edu.cn/info/1041/4051.htm,"Public access point for CHFS 2021 microdata.","Access conditions, weights and cross-wave consistency require review.",collected-not-analyzed
S019,pboc2020urbanbalance,2019年中国城镇居民家庭资产负债情况调查,中国人民银行调查统计司城镇居民家庭资产负债调查课题组,2020,2026-07-20,China urban,household balance sheets,institutional survey article,urban households,housing financial assets liabilities debt service,2019,CNY/household/distribution,https://finance.sina.com.cn/money/bank/yhpl/2020-04-24/doc-iirczymi8103959.shtml,"Survey of more than 30000 urban households by PBOC task group.","Current URL is a mirror of China Finance article; locate official original.",collected-not-analyzed
S020,abs2022sihincome,Survey of Income and Housing User Guide: Income,Australian Bureau of Statistics,2022,2026-07-20,Australia,income measurement,official methodology,private households and members,private gross disposable adjusted and final income,2019-20,AUD/household/person,https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/survey-income-and-housing-user-guide-australia/2019-20/income,"Defines Australian household income concepts and equivalisation.","Latest complete public SIH reference period is older than current conditions.",collected-not-analyzed
S021,abs2017hesmethod,Household Expenditure Survey Australia: Summary of Results Methodology,Australian Bureau of Statistics,2017,2026-07-20,Australia,household expenditure,official methodology,private households,expenditure income wealth housing costs,2015-16,AUD/household/week,https://www.abs.gov.au/methodologies/household-expenditure-survey-australia-summary-results-methodology/2015-16,"Defines HES household, income, expenditure and equivalisation methods.","Detailed survey is infrequent and predates recent price shifts.",collected-not-analyzed
S022,abs2025savingmethod,Australian National Accounts: Household Saving Ratio Methodology,Australian Bureau of Statistics,2025,2026-07-20,Australia,household saving,national accounts methodology,household sector,net saving net disposable income final consumption,current ASNA,percent of net disposable income,https://www.abs.gov.au/methodologies/australian-national-accounts-national-income-expenditure-and-product-methodology/mar-2025,"Provides macro household saving-ratio definition.","Sector aggregate cannot show distribution across households.",collected-not-analyzed
S023,hilda2025report,HILDA Statistical Report 2025,Melbourne Institute,2025,2026-07-20,Australia,longitudinal household well-being,panel survey report,households and persons aged 15+,income wealth labour family economic well-being,waves 1-23,household/person longitudinal,https://melbourneinstitute.unimelb.edu.au/hilda/publications/hilda-statistical-reports,"Longitudinal evidence on economic and family trajectories.","Selected report topics; full analysis requires microdata and attrition methods.",collected-not-analyzed
S024,rba2020wealth,Household Wealth prior to COVID-19: Evidence from the 2018 HILDA Survey,"Adams, Holland, Penrose and Schofer, Reserve Bank of Australia",2020,2026-07-20,Australia,wealth liquidity resilience,central-bank research article,households,assets debts liquid buffers expenses,2018,AUD/household,https://www.rba.gov.au/publications/bulletin/2020/jun/household-wealth-prior-to-covid-19-evidence-from-the-2018-hilda-survey.html,"Links household wealth composition to resilience against income loss.","Pre-COVID balance sheets and asset prices may not represent current conditions.",collected-not-analyzed
S025,treasury2020rir,Retirement Income Review: Final Report,Australian Treasury,2020,2026-07-20,Australia,retirement institutions,independent policy review,Australian households/cohorts,Age Pension superannuation voluntary saving housing,2019-20 review,system/cohort,https://treasury.gov.au/publication/p2020-100554,"Fact base on Australia's three-pillar retirement system.","Retirement focus does not cover all working-age surplus formation.",collected-not-analyzed
S026,ruthbahpham2020super,Household Savings and the Superannuation Guarantee,Ruthbah and Pham,2020,2026-07-20,Australia,mandatory retirement saving,commissioned research,households/workers,superannuation and other saving,pre-2020 data,saving response,https://treasury.gov.au/review/retirement-income-review/research,"Studies whether compulsory superannuation substitutes for other household saving.","Full paper must be reviewed for identification and external validity.",collected-not-analyzed
S027,deaton1991saving,Saving and Liquidity Constraints,Angus Deaton,1991,2026-07-20,general/United States,liquidity constraints and buffer stocks,journal article,consumers/households,assets income shocks consumption,theoretical and micro evidence,model outcomes,https://doi.org/10.2307/2938366,"Foundational buffer-stock saving model under borrowing constraints.","Stylised model assumptions must not be treated as direct country estimates.",collected-not-analyzed
S028,carrollsamwick1998precautionary,How Important is Precautionary Saving?,Christopher Carroll and Andrew Samwick,1998,2026-07-20,United States,precautionary saving,journal article,PSID households,wealth income uncertainty,survey panel,wealth share/model estimate,https://doi.org/10.1162/003465398557645,"Empirical link between income uncertainty and household wealth.","Requires review of uncertainty measures and sample selection.",collected-not-analyzed
S029,campbell2006householdfinance,Household Finance,John Y. Campbell,2006,2026-07-20,general,household financial decisions,review/presidential address,households,participation diversification mortgages financial mistakes,literature through 2006,conceptual review,https://doi.org/10.1111/j.1540-6261.2006.00883.x,"Maps household finance constraints and common decision errors.","Review article, not a single causal estimate.",collected-not-analyzed
S030,kaplanviolanteweidner2014,The Wealthy Hand-to-Mouth,"Greg Kaplan, Giovanni Violante and Justin Weidner",2014,2026-07-20,eight advanced economies,liquid versus illiquid wealth,journal article,households,liquid assets illiquid assets marginal propensity to consume,cross-country survey waves,household status/share,https://doi.org/10.1353/eca.2014.0007,"Identifies households with substantial illiquid wealth but little liquidity.","Country survey definitions and reference years differ.",collected-not-analyzed
S031,vissing2002participation,Towards an Explanation of Household Portfolio Choice Heterogeneity,Annette Vissing-Jorgensen,2002,2026-07-20,United States,asset-market participation costs,working paper,households,income risk stock participation participation costs,PSID and other surveys,participation probability/cost estimate,https://doi.org/10.3386/w8884,"Studies fixed participation costs and nonfinancial income in portfolio choice.","Formal published version and structural assumptions require review.",collected-not-analyzed
S032,liseSeitz2011intrahousehold,Consumption Inequality and Intra-household Allocations,Jeremy Lise and Shannon Seitz,2011,2026-07-20,United Kingdom,within-household allocation,journal article,one- and two-adult households,earnings consumption sharing,1968-2001,inequality estimates,https://doi.org/10.1093/restud/rdq003,"Shows household-level equivalisation can hide internal allocation differences.","Historical UK evidence cannot be directly transferred to target countries.",collected-not-analyzed
S033,chamonprasad2010china,Why Are Saving Rates of Urban Households in China Rising?,Marcos Chamon and Eswar Prasad,2010,2026-07-20,China urban,household saving,journal article,urban households,saving consumption housing education health,1995-2005,saving rate,https://doi.org/10.1257/mac.2.1.93,"Examines rising urban saving and private expenditure burdens.","Historical urban sample; not a current national estimate.",collected-not-analyzed
S034,chamonliuprasad2013,Income Uncertainty and Household Savings in China,"Marcos Chamon, Kai Liu and Eswar Prasad",2013,2026-07-20,China urban,income uncertainty and saving,journal article,urban households,income variance pensions saving,1989-2006,saving rate/model calibration,https://doi.org/10.1016/j.jdeveco.2013.07.014,"Links transitory income uncertainty and pension reform to saving patterns.","Data and pension regime are historical.",collected-not-analyzed
S035,weizhang2011competitive,The Competitive Saving Motive,Shang-Jin Wei and Xiaobo Zhang,2011,2026-07-20,China,social competition and saving,journal article,households/regions,sex ratios household saving marriage market,1990-2007,saving rate,https://doi.org/10.1086/660887,"Tests a marriage-market competitive saving mechanism.","Strong causal claim requires close review of instruments and alternatives.",collected-not-analyzed
S036,chenetal2018longtermcare,The Chinese Saving Rate: Long-term Care Risks Family Insurance and Demographics,"Chen, Imrohoroglu and Imrohoroglu",2018,2026-07-20,China,long-term care risk and saving,journal article/structural model,households across generations,saving long-term care family insurance demographics,1980-2010 calibration,national saving rate/model contribution,https://doi.org/10.1016/j.jmoneco.2018.03.001,"Quantifies elderly risks and declining family insurance in a structural model.","Model decomposition is not direct causal identification.",collected-not-analyzed
S037,athreya2025distress,Effects of Macroeconomic Shocks: Household Financial Distress Matters,Athreya et al.,2025,2026-07-20,United States,financial distress and consumption response,journal article,households,financial distress credit access shock severity consumption,recent recessions,consumption response/model,https://doi.org/10.1093/rfs/hhae058,"Studies how pre-existing financial distress shapes macro-shock responses.","Structural estimates require model and sample review.",collected-not-analyzed
S038,rohwedder2026savingregret,Self-assessed Life-Cycle Saving Behavior in the U.S. and Singapore,"Rohwedder, Hurd and Börsch-Supan",2026,2026-07-20,United States and Singapore,saving regret and shocks,NBER working paper,adults aged 60-74,saving regret procrastination economic shocks mandatory saving,recent survey,self-assessed outcomes,https://doi.org/10.3386/w34835,"Compares behavioral and shock explanations of under-saving regret.","Working paper and self-assessed outcome; not yet final peer-reviewed evidence.",collected-not-analyzed
